"","YearRemodAdd","X2ndFlrSF","X1stFlrSF","GrLivArea","TotalBsmtSF","TotRmsAbvGrd","SalePrice","GarageArea","YrSold","MoSold","DateSold","TotalSF","index_TotalSF","index_GarageArea","index_GrLivArea","index_YearRemodAdd","index_Room"
"292",2000,780,936,1716,780,9,135900,0,2008,3,"03//2008",2496,2,1,3,7,5
"293",2008,568,1148,1716,768,8,131000,281,2009,1,"01//2009",2484,2,2,3,8,4
"294",1994,795,1468,2263,795,9,235000,539,2006,3,"03//2006",3058,2,4,3,6,5
"295",1953,0,1644,1644,1416,7,167000,418,2009,10,"10//2009",3060,2,3,2,1,4
"296",1984,0,1003,1003,1003,6,142500,588,2006,3,"03//2006",2006,2,4,2,5,3
"297",1950,648,910,1558,910,6,152000,282,2007,6,"06//2007",2468,2,2,2,1,3
"298",1998,975,975,1950,975,7,239000,576,2007,6,"06//2007",2925,2,4,3,7,4
"299",1968,702,1041,1743,702,7,175000,539,2007,6,"06//2007",2445,2,4,3,3,4
"300",2004,0,1152,1152,1092,6,158500,300,2009,8,"08//2009",2244,2,2,2,8,3
"301",1953,0,1336,1336,1165,5,157000,375,2006,6,"06//2006",2501,2,3,2,1,2
"302",1999,1242,1210,2452,1028,9,267000,683,2007,5,"05//2007",3480,3,4,4,7,5
"303",2002,0,1541,1541,1541,6,205000,843,2006,1,"01//2006",3082,2,5,2,7,3
"304",1972,0,894,894,894,5,149900,552,2006,7,"07//2006",1788,2,4,1,3,2
"305",2002,1818,1675,3493,1470,10,295000,870,2008,5,"05//2008",4963,4,5,5,7,6
"306",2005,0,2000,2000,2000,8,305900,888,2007,7,"07//2007",4000,3,6,3,8,4
"307",1991,1121,1122,2243,700,8,225000,746,2007,6,"06//2007",2943,2,5,3,6,4
"308",1950,371,1035,1406,319,6,89500,0,2008,3,"03//2008",1725,1,1,2,1,3
"309",1950,0,861,861,861,4,82500,539,2009,3,"03//2009",1722,1,4,1,1,2
"310",2004,0,1944,1944,1896,8,360000,708,2006,11,"11//2006",3840,3,4,3,8,4
"311",1994,804,697,1501,697,6,165600,420,2006,5,"05//2006",2198,2,3,2,6,3
"312",2002,0,972,972,972,5,132000,240,2009,5,"05//2009",1944,2,2,1,7,2
"313",1950,325,793,1118,793,5,119900,410,2006,5,"05//2006",1911,2,3,2,1,2
"314",1965,0,2036,2036,2136,8,375000,513,2009,6,"06//2009",4172,3,3,3,2,4
"315",1990,809,832,1641,728,6,178000,546,2006,8,"08//2006",2369,2,4,2,6,3
"316",2005,716,716,1432,716,6,188500,432,2009,7,"07//2009",2148,2,3,2,8,3
"317",1980,1200,1153,2353,845,10,260000,484,2009,8,"08//2009",3198,3,3,4,4,6
"318",2006,871,1088,1959,1088,8,270000,1025,2007,12,"12//2007",3047,2,6,3,8,4
"319",1993,1274,1372,2646,1347,9,260000,656,2009,4,"04//2009",3993,3,4,4,6,5
"320",1980,0,1472,1472,1372,6,187500,588,2009,6,"06//2009",2844,2,4,2,4,3
"321",2006,1347,1249,2596,1249,9,342643,840,2006,9,"09//2006",3845,3,5,4,8,5
"322",2004,1332,1136,2468,1136,10,354000,872,2007,6,"06//2007",3604,3,5,4,8,6
"323",1987,1177,1553,2730,1502,8,301000,576,2007,8,"08//2007",4232,3,4,4,5,4
"324",2005,0,1163,1163,1162,6,126175,220,2006,7,"07//2006",2325,2,2,2,8,3
"325",2007,1080,1898,2978,710,11,242000,564,2010,6,"06//2010",3688,3,4,4,8,6
"326",1950,0,803,803,720,5,87000,360,2007,12,"12//2007",1523,1,3,1,1,2
"327",1993,0,1719,1719,1719,6,324000,473,2008,5,"05//2008",3438,3,3,3,6,3
"328",1960,0,1383,1383,1383,7,145250,292,2006,4,"04//2006",2766,2,2,2,2,4
"329",1994,689,1445,2134,844,10,214500,441,2009,7,"07//2009",2978,2,3,3,6,6
"330",1950,596,596,1192,596,6,78000,189,2009,7,"07//2009",1788,2,2,2,1,3
"331",1964,0,1728,1728,1728,10,119000,352,2007,11,"11//2007",3456,3,2,3,2,6
"332",1992,0,1056,1056,1056,6,139000,308,2007,8,"08//2007",2112,2,2,2,6,3
"333",2004,0,1629,1629,3206,7,284000,880,2009,10,"10//2009",4835,4,5,2,8,4
"334",2004,0,1358,1358,1358,6,207000,484,2008,7,"07//2008",2716,2,3,2,8,3
"335",1998,695,943,1638,943,7,192000,472,2008,7,"07//2008",2581,2,3,2,7,4
"336",1965,167,1619,1786,1499,7,228950,529,2008,8,"08//2008",3285,3,3,3,2,4
"337",2006,0,1922,1922,1922,8,377426,676,2007,7,"07//2007",3844,3,4,3,8,4
"338",2003,0,1536,1536,1536,7,214000,532,2008,12,"12//2008",3072,2,4,2,8,4
"339",1998,0,1621,1621,1208,8,202500,440,2006,5,"05//2006",2829,2,3,2,7,4
"340",1998,0,1215,1215,1215,6,155000,297,2009,6,"06//2009",2430,2,2,2,7,3
"341",2002,915,993,1908,967,9,202900,431,2010,4,"04//2010",2875,2,3,3,7,5
"342",1950,0,841,841,721,4,82000,294,2009,9,"09//2009",1562,1,2,1,1,2
"343",1950,0,1040,1040,0,6,87500,400,2006,5,"05//2006",1040,1,3,2,1,3
"344",2005,0,1684,1684,1684,6,266000,564,2008,7,"07//2008",3368,3,4,3,8,3
"345",1976,576,536,1112,536,4,85000,336,2010,4,"04//2010",1648,1,2,2,4,2
"346",1950,605,972,1577,972,6,140200,312,2006,10,"10//2006",2549,2,2,2,1,3
"347",1998,0,958,958,958,5,151500,301,2007,4,"04//2007",1916,2,2,1,7,2
"348",1960,0,1478,1478,1478,6,157500,498,2009,12,"12//2009",2956,2,3,2,2,3
"349",2004,862,764,1626,764,6,154000,474,2008,10,"10//2008",2390,2,3,2,8,3
"350",2006,880,1848,2728,1848,10,437154,706,2006,4,"04//2006",4576,3,4,4,8,6
"351",2007,0,1869,1869,1869,6,318061,617,2007,12,"12//2007",3738,3,4,3,8,3
"352",1986,0,1453,1453,1453,6,190000,445,2006,12,"12//2006",2906,2,3,2,5,3
"353",1950,495,616,1111,616,5,95000,200,2008,3,"03//2008",1727,1,2,2,1,2
"354",2003,0,720,720,624,5,105900,484,2010,5,"05//2010",1344,1,3,1,8,2
"355",2000,403,1192,1595,940,6,140000,240,2006,6,"06//2006",2535,2,2,2,7,3
"356",1995,0,1200,1200,1200,6,177500,521,2007,8,"08//2007",2400,2,3,2,6,3
"357",1992,0,1167,1167,1158,6,173000,400,2009,7,"07//2009",2325,2,3,2,6,3
"358",1976,0,1142,1142,1142,6,134000,528,2007,8,"08//2007",2284,2,3,2,4,3
"359",1958,0,1352,1352,1062,6,130000,288,2006,7,"07//2006",2414,2,2,2,2,3
"360",1998,838,1086,1924,1086,7,280000,592,2006,6,"06//2006",3010,2,4,3,7,4
"361",1978,0,912,912,888,5,156000,470,2007,6,"06//2007",1800,2,3,1,4,2
"362",1982,517,988,1505,883,8,145000,240,2008,7,"07//2008",2388,2,2,2,5,4
"363",2003,1427,495,1922,0,7,198500,672,2009,7,"07//2009",1922,2,4,3,8,4
"364",2007,504,483,987,483,5,118000,264,2009,5,"05//2009",1470,1,2,1,8,2
"365",1976,784,790,1574,796,6,190000,566,2006,7,"07//2006",2370,2,4,2,4,3
"366",1997,672,672,1344,672,6,147000,468,2009,7,"07//2009",2016,2,3,2,7,3
"367",1963,0,1394,1394,1394,6,159000,514,2009,7,"07//2009",2788,2,3,2,2,3
"368",1962,0,1431,1431,1099,6,165000,296,2008,12,"12//2008",2530,2,2,2,2,3
"369",1954,0,1268,1268,1268,7,132000,244,2010,3,"03//2010",2536,2,2,2,1,4
"370",2006,0,1287,1287,1063,7,162000,576,2010,3,"03//2010",2350,2,4,2,8,4
"371",2000,711,953,1664,953,7,172400,460,2006,1,"01//2006",2617,2,3,3,7,4
"372",1959,468,1120,1588,0,7,134432,680,2008,7,"07//2008",1588,1,4,2,2,4
"373",1984,0,752,752,744,4,125000,264,2010,2,"02//2010",1496,1,2,1,5,2
"374",1953,0,1319,1319,608,5,123000,270,2009,11,"11//2009",1927,2,2,2,1,2
"375",2004,1081,847,1928,847,8,219500,434,2007,7,"07//2007",2775,2,3,3,8,4
"376",1950,0,904,904,683,4,61000,0,2009,3,"03//2009",1587,1,1,1,1,2
"377",1996,0,914,914,870,5,148000,576,2006,7,"07//2006",1784,2,4,1,7,2
"378",2005,886,1580,2466,1580,8,340000,610,2007,12,"12//2007",4046,3,4,4,8,4
"379",2010,0,1856,1856,1856,8,394432,834,2010,6,"06//2010",3712,3,5,3,8,4
"380",2000,793,1007,1800,982,7,179000,463,2009,6,"06//2009",2782,2,3,3,7,4
"381",1950,665,1026,1691,1026,6,127000,308,2010,5,"05//2010",2717,2,2,3,1,3
"382",2006,0,1301,1301,1293,5,187750,572,2006,8,"08//2006",2594,2,4,2,8,2
"383",2006,858,939,1797,939,8,213500,639,2007,4,"04//2007",2736,2,4,3,8,4
"384",1950,0,784,784,784,5,76000,360,2009,10,"10//2009",1568,1,3,1,1,2
"385",1992,874,1079,1953,1580,9,240000,501,2007,6,"06//2007",3533,3,3,3,6,5
"386",2005,0,1269,1269,1256,6,192000,430,2010,4,"04//2010",2525,2,3,2,8,3
"387",1996,526,658,1184,658,8,81000,0,2006,5,"05//2006",1842,2,1,2,7,4
"388",1976,0,1125,1125,1041,6,125000,352,2009,10,"10//2009",2166,2,2,2,4,3
"389",2000,0,1479,1479,1468,6,191000,577,2008,7,"07//2008",2947,2,4,2,7,3
"390",2008,590,1742,2332,1682,9,426000,846,2008,8,"08//2008",4014,3,5,4,8,5
"391",1950,406,961,1367,861,7,119000,384,2008,4,"04//2008",2228,2,3,2,1,4
"392",2002,1157,804,1961,804,7,215000,560,2009,6,"06//2009",2765,2,4,3,7,4
"393",1959,0,882,882,0,5,106500,294,2007,7,"07//2007",882,1,2,1,2,2
"394",1950,0,788,788,788,4,100000,0,2006,4,"04//2006",1576,1,1,1,1,2
"395",1950,299,735,1034,735,5,109000,240,2007,7,"07//2007",1769,2,2,2,1,2
"396",1956,0,1144,1144,1144,6,129000,596,2010,6,"06//2010",2288,2,4,2,1,3
"397",1972,0,894,894,894,6,123000,600,2009,9,"09//2009",1788,2,4,1,3,3
"398",1962,936,876,1812,864,8,169500,264,2007,7,"07//2007",2676,2,2,3,2,4
"399",1950,0,1077,1077,961,6,67000,338,2007,11,"11//2007",2038,2,2,2,1,3
"400",2007,438,1112,1550,1092,7,241000,438,2009,10,"10//2009",2642,2,3,2,8,4
"401",1996,0,1288,1288,1260,4,245500,500,2008,12,"12//2008",2548,2,3,2,7,2
"402",2005,0,1310,1310,1310,6,164990,400,2006,7,"07//2006",2620,2,3,2,8,3
"403",1997,0,672,672,672,4,108000,240,2008,8,"08//2008",1344,1,2,1,7,2
"404",1998,1098,1165,2263,1141,10,258000,420,2006,7,"07//2006",3404,3,3,3,7,6
"405",1996,766,806,1572,806,7,168000,373,2007,5,"05//2007",2378,2,3,2,7,4
"406",1993,0,1620,1620,1281,8,150000,490,2009,6,"06//2009",2901,2,3,2,6,4
"407",1950,0,1166,1639,1064,6,115000,240,2008,3,"03//2008",2230,2,2,2,1,3
"408",1976,840,840,1680,840,8,177000,308,2008,3,"03//2008",2520,2,2,3,4,4
"409",2006,1101,1071,2172,1063,9,280000,947,2007,8,"08//2007",3235,3,6,3,8,5
"410",2008,1028,1050,2078,1034,8,339750,836,2008,4,"04//2008",3112,2,5,3,8,4
"411",1958,0,1276,1276,1276,5,60000,350,2009,6,"06//2009",2552,2,2,2,2,2
"412",1955,0,1056,1056,1056,5,145000,572,2006,1,"01//2006",2112,2,4,2,1,2
"413",2009,0,1478,1478,1470,7,222000,484,2010,6,"06//2010",2948,2,3,2,8,4
"414",1950,0,1028,1028,1008,5,115000,360,2010,3,"03//2010",2036,2,3,2,1,2
"415",1993,1017,1080,2097,1080,9,228000,678,2008,12,"12//2008",3177,2,4,3,6,5
"416",2007,0,1340,1340,1340,6,181134,396,2007,8,"08//2007",2680,2,3,2,8,3
"417",1978,728,672,1400,672,6,149500,440,2006,3,"03//2006",2072,2,3,2,4,3
"418",1950,1254,1370,2624,1370,10,239000,864,2007,11,"11//2007",3994,3,5,4,1,6
"419",1950,378,756,1134,756,7,126000,240,2007,4,"04//2007",1890,2,2,2,1,4
"420",1968,0,1056,1056,1056,6,142000,304,2010,7,"07//2010",2112,2,2,2,3,3
"421",1998,0,1344,1344,1344,8,206300,784,2008,11,"11//2008",2688,2,5,2,7,4
"422",2000,0,1602,1602,1602,8,215000,529,2009,6,"06//2009",3204,3,3,2,7,4
"423",1954,0,988,988,988,4,113000,520,2008,2,"02//2008",1976,2,3,1,1,2
"424",1998,1160,1470,2630,1470,8,315000,696,2008,6,"06//2008",4100,3,4,4,7,4
"425",1956,0,1196,1196,1196,6,139000,297,2008,5,"05//2008",2392,2,2,2,1,3
"426",1992,682,707,1389,651,6,135000,240,2009,9,"09//2009",2040,2,2,2,6,3
"427",1989,0,1644,1644,1518,5,275000,569,2009,8,"08//2009",3162,2,4,2,6,2
"428",1957,0,907,907,907,5,109008,352,2008,7,"07//2008",1814,2,2,1,1,2
"429",2007,0,1208,1208,1208,6,195400,628,2007,9,"09//2007",2416,2,4,2,8,3
"430",1988,0,1412,1412,1392,6,175000,576,2009,3,"03//2009",2804,2,4,2,6,3
"431",1971,504,483,987,483,4,85400,264,2008,7,"07//2008",1470,1,2,1,3,2
"432",1998,110,1088,1198,901,7,79900,0,2008,9,"09//2008",2099,2,1,2,7,4
"433",1971,600,765,1365,765,6,122500,440,2007,8,"08//2007",2130,2,3,2,3,3
"434",1998,678,926,1604,926,7,181000,470,2008,7,"07//2008",2530,2,3,2,7,4
"435",1972,0,630,630,630,3,81000,0,2008,6,"06//2008",1260,1,1,1,3,1
"436",1996,834,827,1661,799,6,212000,550,2009,4,"04//2009",2460,2,4,2,7,3
"437",1950,384,734,1118,648,6,116000,440,2006,10,"10//2006",1766,2,3,2,1,3
"438",2004,0,904,904,884,4,119000,180,2009,1,"01//2009",1788,2,2,1,8,2
"439",2002,0,694,694,440,4,90350,352,2007,3,"03//2007",1134,1,2,1,7,2
"440",2000,512,684,1196,684,7,110000,528,2009,8,"08//2009",1880,2,3,2,7,4
"441",2008,0,2402,2402,3094,10,555000,672,2009,4,"04//2009",5496,4,4,4,8,6
"442",1955,0,1440,1440,1440,8,118000,0,2008,9,"09//2008",2880,2,1,2,1,4
"443",1992,445,1128,1573,1078,8,162900,360,2008,6,"06//2008",2651,2,3,2,6,4
"444",2007,0,1258,1258,1258,6,172500,648,2007,6,"06//2007",2516,2,4,2,8,3
"445",1995,975,933,1908,915,8,210000,493,2008,7,"07//2008",2823,2,3,3,6,4
"446",1956,0,1689,1689,1436,7,127500,480,2009,11,"11//2009",3125,2,3,3,1,4
"447",2002,0,1888,1888,1517,6,190000,578,2010,6,"06//2010",3405,3,4,3,7,3
"448",1999,930,956,1886,930,10,199900,431,2006,7,"07//2006",2816,2,3,3,7,6
"449",1950,596,780,1376,780,7,119500,198,2006,6,"06//2006",2156,2,2,2,1,4
"450",2002,504,679,1183,649,6,120000,308,2007,6,"06//2007",1832,2,2,2,7,3
"451",2005,0,813,813,813,5,110000,270,2006,6,"06//2006",1626,1,2,1,8,2
"452",1975,0,1533,1533,1533,5,280000,576,2006,12,"12//2006",3066,2,4,2,4,2
"453",1997,868,888,1756,872,7,204000,422,2007,7,"07//2007",2628,2,3,3,7,4
"454",2008,804,786,1590,768,6,210000,676,2009,6,"06//2009",2358,2,4,2,8,3
"455",1976,0,1728,1728,1728,8,188000,560,2006,7,"07//2006",3456,3,4,3,4,4
"456",1973,0,1242,1242,1242,6,175500,528,2007,9,"09//2007",2484,2,3,2,4,3
"457",1950,720,624,1344,624,7,98000,513,2008,5,"05//2008",1968,2,3,2,1,4
"458",1994,0,1663,1663,1364,6,256000,529,2008,3,"03//2008",3027,2,3,3,6,3
"459",1996,833,833,1666,588,7,161000,228,2008,6,"06//2008",2254,2,2,3,7,4
"460",1950,224,979,1203,709,5,110000,352,2009,7,"07//2009",1912,2,2,2,1,2
"461",2009,1103,832,1935,832,8,263435,552,2009,12,"12//2009",2767,2,4,3,8,4
"462",2007,560,575,1135,560,6,155000,576,2009,4,"04//2009",1695,1,4,2,8,3
"463",1965,0,864,864,864,5,62383,360,2009,12,"12//2009",1728,1,3,1,2,2
"464",1995,811,849,1660,715,6,188700,240,2008,8,"08//2008",2375,2,2,2,6,3
"465",1978,0,1040,1040,1040,5,124000,0,2009,8,"08//2009",2080,2,1,2,4,2
"466",2004,0,1414,1414,1375,6,178740,398,2006,5,"05//2006",2789,2,3,2,8,3
"467",1970,0,1277,1277,1277,5,167000,526,2007,4,"04//2007",2554,2,3,2,3,2
"468",1995,756,888,1644,728,7,146500,312,2007,6,"06//2007",2372,2,2,2,6,4
"469",2006,0,1634,1634,1626,7,250000,866,2007,5,"05//2007",3260,3,5,2,8,4
"470",1993,878,832,1710,832,7,187000,506,2008,6,"06//2008",2542,2,3,3,6,4
"471",1985,0,1502,1502,1488,4,212000,528,2010,6,"06//2010",2990,2,3,2,5,2
"472",1977,808,1161,1969,808,8,190000,534,2007,11,"11//2007",2777,2,4,3,4,4
"473",2005,0,1072,1072,547,5,148000,525,2008,6,"06//2008",1619,1,3,2,8,2
"474",2007,0,1976,1976,1976,7,440000,908,2007,7,"07//2007",3952,3,6,3,8,4
"475",2000,0,1652,1652,1494,6,251000,499,2007,8,"08//2007",3146,2,3,2,7,3
"476",1963,0,970,970,970,5,132500,624,2007,7,"07//2007",1940,2,4,1,2,2
"477",1998,0,1493,1493,1478,7,208900,508,2008,4,"04//2008",2971,2,3,2,7,4
"478",2006,574,2069,2643,2153,9,380000,694,2007,3,"03//2007",4796,4,4,4,8,5
"479",2008,0,1718,1718,1705,7,297000,826,2009,9,"09//2009",3423,3,5,3,8,4
"480",2000,0,1131,1131,907,7,89471,672,2007,3,"03//2007",2038,2,4,2,7,4
"481",2005,0,1850,1850,1833,8,326000,772,2006,3,"03//2006",3683,3,5,3,8,4
"482",2004,0,1792,1792,1792,6,374000,874,2006,8,"08//2006",3584,3,5,3,8,3
"483",2005,910,916,1826,910,7,155000,164,2009,6,"06//2009",2736,2,1,3,8,4
"484",1998,0,1216,1216,1216,5,164000,402,2006,5,"05//2006",2432,2,3,2,7,2
"485",2001,0,999,999,999,6,132500,264,2007,3,"03//2007",1998,2,2,2,7,3
"486",2007,0,1113,1113,1113,5,147000,264,2009,7,"07//2009",2226,2,2,2,8,2
"487",1965,0,1073,1073,1073,6,156000,515,2007,6,"06//2007",2146,2,3,2,2,3
"488",1971,0,1484,1484,1484,7,175000,487,2007,2,"02//2007",2968,2,3,2,3,4
"489",1970,648,1766,2414,954,10,160000,520,2006,5,"05//2006",3368,3,3,4,3,6
"490",2002,0,630,630,630,3,86000,286,2009,5,"05//2009",1260,1,2,1,7,1
"491",1976,688,616,1304,264,4,115000,336,2008,6,"06//2008",1568,1,2,2,4,2
"492",1950,620,958,1578,806,5,133000,240,2006,8,"08//2006",2384,2,2,2,1,2
"493",2006,728,728,1456,728,8,172785,429,2006,5,"05//2006",2184,2,3,2,8,4
"494",1960,0,1269,1269,1269,6,155000,308,2008,6,"06//2008",2538,2,2,2,2,3
"495",1996,0,886,886,190,4,91300,273,2009,12,"12//2009",1076,1,2,1,7,2
"496",1950,0,720,720,720,4,34900,0,2009,11,"11//2009",1440,1,1,1,1,2
"497",1993,0,3228,3228,3200,10,430000,546,2007,5,"05//2007",6428,5,4,5,6,6
"498",1950,687,1133,1820,1026,8,184000,240,2008,6,"06//2008",2846,2,2,3,1,4
"499",2004,0,899,899,864,5,130000,288,2009,6,"06//2009",1763,2,2,1,8,2
"500",1985,0,912,912,912,5,120000,297,2007,6,"06//2007",1824,2,2,1,5,2
"501",1973,546,672,1218,672,7,113000,264,2007,5,"05//2007",1890,2,2,2,4,4
"502",2005,902,866,1768,866,7,226700,603,2008,2,"02//2008",2634,2,4,3,8,4
"503",1965,0,1214,1214,1214,6,140000,461,2007,4,"04//2007",2428,2,3,2,2,3
"504",1997,0,1801,1801,1501,6,289000,484,2010,3,"03//2010",3302,3,3,3,7,3
"505",1974,467,855,1322,855,6,147000,440,2009,6,"06//2009",2177,2,3,2,4,3
"506",1952,1000,960,1960,960,10,124500,400,2009,7,"07//2009",2920,2,3,3,1,6
"507",1994,846,1065,1911,777,8,215000,471,2006,9,"09//2006",2688,2,3,3,6,4
"508",2009,0,1218,1218,1218,4,208300,676,2009,9,"09//2009",2436,2,4,2,8,2
"509",2005,689,689,1378,689,7,161000,360,2008,10,"10//2008",2067,2,3,2,8,4
"510",1959,0,1041,1041,1041,6,124500,270,2009,7,"07//2009",2082,2,2,2,2,3
"511",2000,0,1363,1363,1008,6,164900,288,2009,6,"06//2009",2371,2,2,2,7,3
"512",2006,0,1368,1368,1368,6,202665,474,2006,3,"03//2006",2736,2,3,2,8,3
"513",1958,0,864,864,864,5,129900,624,2006,7,"07//2006",1728,1,4,1,2,2
"514",1983,0,1080,1080,1084,5,134000,484,2007,6,"06//2007",2164,2,3,2,5,2
"515",1950,0,789,789,768,5,96500,200,2007,6,"06//2007",1557,1,2,1,1,2
"516",2009,0,2020,2020,2006,9,402861,900,2009,9,"09//2009",4026,3,6,3,8,5
"517",1972,741,1378,2119,689,7,158000,583,2009,8,"08//2009",2808,2,4,3,3,4
"518",1997,1067,1277,2344,1264,7,265000,889,2009,7,"07//2009",3608,3,6,4,7,4
"519",1998,914,882,1796,794,7,211000,546,2007,5,"05//2007",2590,2,4,3,7,4
"520",2004,804,1276,2080,1276,9,234000,282,2009,6,"06//2009",3356,3,2,3,8,5
"521",2000,600,694,1294,0,7,106250,0,2008,8,"08//2008",1294,1,1,2,7,4
"522",1957,0,1244,1244,1244,6,150000,336,2007,5,"05//2007",2488,2,2,2,1,3
"523",1950,660,1004,1664,1004,7,159000,420,2006,10,"10//2006",2668,2,3,3,1,4
"524",2008,1538,3138,4676,3138,11,184750,884,2007,10,"10//2007",7814,6,5,7,8,6
"525",1997,1015,1383,2398,1379,8,315750,834,2007,8,"08//2007",3777,3,5,4,7,4
"526",2005,0,1266,1266,1257,6,176000,453,2006,4,"04//2006",2523,2,3,2,8,3
"527",2000,0,928,928,928,4,132000,252,2007,6,"06//2007",1856,2,2,1,7,2
"528",2008,1237,1476,2713,1452,11,446261,858,2008,11,"11//2008",4165,3,5,4,8,6
"529",2002,0,605,605,528,5,86000,0,2007,7,"07//2007",1133,1,1,1,7,2
"530",1975,0,2515,2515,2035,9,200624,484,2007,3,"03//2007",4550,3,3,4,4,5
"531",1989,0,1509,1509,1461,5,175000,600,2008,8,"08//2008",2970,2,4,2,6,2
"532",1999,611,751,1362,611,6,128000,502,2008,6,"06//2008",1973,2,3,2,7,3
"533",2007,0,827,827,0,5,107500,392,2010,4,"04//2010",827,1,3,1,8,2
"534",1950,0,334,334,0,2,39300,0,2007,1,"01//2007",334,1,1,1,1,1
"535",2004,707,707,1414,707,6,178000,403,2006,10,"10//2006",2121,2,3,2,8,3
"536",1991,527,820,1347,1117,5,107500,0,2008,1,"01//2008",2464,2,1,2,6,2
"537",1999,844,880,1724,880,8,188000,527,2008,7,"07//2008",2604,2,3,3,7,4
"538",1972,0,864,864,864,5,111250,576,2008,4,"04//2008",1728,1,4,1,3,2
"539",1968,0,1159,1159,1051,7,158000,336,2006,7,"07//2006",2210,2,2,2,3,4
"540",2002,0,1601,1601,1581,6,272000,670,2010,5,"05//2010",3182,2,4,2,7,3
"541",2006,0,1838,1838,1838,8,315000,765,2009,3,"03//2009",3676,3,5,3,8,4
"542",2000,1288,997,2285,969,8,248000,648,2007,6,"06//2007",3254,3,4,3,7,4
"543",1999,0,1680,1680,1650,7,213250,583,2009,6,"06//2009",3330,3,4,3,7,4
"544",1998,0,767,767,723,4,133000,367,2007,6,"06//2007",1490,1,3,1,7,2
"545",2006,832,664,1496,654,7,179665,426,2006,9,"09//2006",2150,2,3,2,8,4
"546",1988,806,1377,2183,1204,9,229000,786,2006,2,"02//2006",3387,3,5,3,6,5
"547",1950,720,915,1635,1065,6,210000,440,2007,5,"05//2007",2700,2,3,2,1,3
"548",1970,0,768,768,768,5,129500,624,2007,4,"04//2007",1536,1,4,1,3,2
"549",1995,0,825,825,825,4,125000,720,2008,6,"06//2008",1650,1,5,1,6,2
"550",2004,1182,912,2094,912,8,263000,615,2009,11,"11//2009",3006,2,4,3,8,4
"551",1977,0,1069,1069,1069,4,140000,440,2008,10,"10//2008",2138,2,3,2,4,2
"552",1957,0,928,928,928,5,112500,288,2008,6,"06//2008",1856,2,2,1,1,2
"553",2006,0,1717,1717,1709,7,255500,908,2009,7,"07//2009",3426,3,6,3,8,4
"554",2003,0,1126,1126,0,5,108000,520,2009,5,"05//2009",1126,1,3,2,8,2
"555",2004,1040,1006,2046,998,8,284000,871,2008,8,"08//2008",3044,2,5,3,8,4
"556",1950,0,1048,1048,993,5,113000,280,2006,8,"08//2006",2041,2,2,2,1,2
"557",1957,0,1092,1092,1092,6,141000,299,2006,5,"05//2006",2184,2,2,2,1,3
"558",1950,439,897,1336,637,7,108000,570,2006,9,"09//2006",1973,2,4,2,1,4
"559",1997,717,729,1446,729,6,175000,406,2008,8,"08//2008",2175,2,3,2,7,3
"560",2004,0,1557,1557,1374,7,234000,420,2006,10,"10//2006",2931,2,3,2,8,4
"561",1996,0,1392,1392,1392,5,121500,528,2010,5,"05//2010",2784,2,3,2,7,2
"562",1975,0,1389,1389,1389,6,170000,418,2006,4,"04//2006",2778,2,3,2,4,3
"563",1969,0,996,996,996,6,108000,0,2008,7,"07//2008",1992,2,1,1,3,3
"564",1950,511,1163,1674,1163,8,185000,396,2008,7,"07//2008",2837,2,3,3,1,4
"565",2000,1129,1166,2295,1095,9,268000,590,2006,7,"07//2006",3390,3,4,3,7,5
"566",1950,806,841,1647,806,6,128000,216,2010,5,"05//2010",2453,2,2,2,1,3
"567",2007,1370,1134,2504,1122,11,325000,656,2008,6,"06//2008",3626,3,4,4,8,6
"568",2004,0,1535,1535,1517,7,214000,532,2010,3,"03//2010",3052,2,4,2,8,4
"569",2009,636,1496,2132,1496,5,316600,612,2009,9,"09//2009",3628,3,4,3,8,2
"570",1979,0,943,943,943,4,135960,600,2006,12,"12//2006",1886,2,4,1,4,2
"571",1965,0,1728,1728,1728,10,142600,576,2008,11,"11//2008",3456,3,4,3,2,6
"572",1959,0,864,864,864,4,120000,288,2006,10,"10//2006",1728,1,2,1,2,2
"573",2009,846,846,1692,846,6,224500,650,2009,7,"07//2009",2538,2,4,3,8,3
"574",2000,656,774,1430,384,8,170000,400,2007,12,"12//2007",1814,2,3,2,7,4
"575",2005,533,576,1109,372,5,139000,288,2007,12,"12//2007",1481,1,2,2,8,2
"576",1950,384,832,1216,832,6,118500,336,2008,10,"10//2008",2048,2,2,2,1,3
"577",1950,600,877,1477,861,6,145000,216,2009,8,"08//2009",2338,2,2,2,1,3
"578",1966,0,1320,1320,1164,6,164500,564,2006,5,"05//2006",2484,2,4,2,3,3
"579",2007,689,703,1392,689,5,146000,540,2008,2,"02//2008",2081,2,4,2,8,2
"580",1954,745,1050,1795,1050,7,131500,352,2008,11,"11//2008",2845,2,2,3,1,4
"581",1987,0,1429,1429,1144,7,181900,572,2007,6,"06//2007",2573,2,4,2,5,4
"582",2009,0,2042,2042,2042,8,253293,1390,2009,8,"08//2009",4084,3,8,3,8,4
"583",1990,0,816,816,816,5,118500,0,2007,5,"05//2007",1632,1,1,1,6,2
"584",2000,1254,1521,2775,1237,9,325000,880,2008,7,"07//2008",4012,3,5,4,7,5
"585",1995,584,989,1573,884,6,133000,240,2009,7,"07//2009",2457,2,2,2,6,3
