"","YearRemodAdd","GrLivArea","TotRmsAbvGrd","SalePrice","GarageArea","YrSold","MoSold","TotalSF"
"188",0.617,0.249,0.5,0.139,0.127,2009,0.636,0.161
"426",0.7,0.199,0.333,0.139,0.169,2009,0.727,0.149
"623",0.45,0.122,0.333,0.139,0.341,2009,0.545,0.142
"629",0.317,0.329,0.583,0.139,0.355,2007,0.727,0.244
"654",0.75,0.214,0.417,0.139,0.152,2008,0.455,0.166
"724",0.367,0.214,0.417,0.139,0.386,2008,0.364,0.182
"771",0.533,0.099,0.25,0.139,0.406,2009,0.273,0.121
"780",0.45,0.126,0.167,0.139,0.355,2006,0.364,0.144
"900",0.733,0.17,0.333,0.139,0.203,2006,0.455,0.159
"918",0.1,0.169,0.333,0.139,0.2,2009,0.273,0.178
"968",0.083,0.144,0.333,0.139,0.183,2008,0.545,0.163
"971",0,0.162,0.333,0.139,0,2006,1,0.138
"1011",0,0.177,0.417,0.139,0.22,2008,0.636,0.145
"1070",0.883,0.105,0.167,0.139,0.406,2007,0.364,0.123
"1071",0.1,0.135,0.333,0.139,0.202,2007,0.455,0.154
"1103",0.867,0.151,0.333,0.139,0.179,2007,0.273,0.159
"1131",0,0.31,0.417,0.139,0.406,2009,1,0.243
"1337",0.383,0.249,0.5,0.139,0.357,2008,0.909,0.261
"1353",0.833,0.159,0.167,0.139,0.44,2009,0.545,0.135
"77",0.1,0.116,0.167,0.14,0.2,2008,0.273,0.138
"123",0.133,0.141,0.25,0.14,0.203,2008,0.455,0.16
"292",0.833,0.26,0.583,0.14,0,2008,0.182,0.189
"570",0.483,0.115,0.167,0.14,0.423,2006,1,0.136
"807",0.283,0.122,0.333,0.14,0.271,2006,0.818,0.142
"888",0.083,0.2,0.5,0.14,0.212,2008,0.273,0.164
"1388",0,0.413,0.667,0.14,0.152,2007,0.636,0.255
"1451",0.4,0.275,0.5,0.14,0,2009,0.727,0.206
"79",0.3,0.27,0.5,0.141,0,2010,0.273,0.28
"880",0.917,0.1,0.333,0.141,0.237,2009,0.545,0.122
"997",0.183,0.135,0.333,0.141,0.26,2006,0,0.155
"1093",0,0.256,0.417,0.141,0.406,2008,0.455,0.223
"1423",0.883,0.097,0.083,0.141,0.296,2008,0.182,0.119
"111",0.367,0.287,0.417,0.142,0.229,2006,0.818,0.22
"247",0,0.3,0.583,0.142,0.31,2006,0.273,0.229
"588",0.533,0.099,0.167,0.142,0.372,2009,0.545,0.12
"616",0.217,0.136,0.333,0.142,0.339,2010,0.364,0.145
"664",0.367,0.16,0.333,0.142,0.415,2008,0.273,0.174
"670",0,0.159,0.25,0.142,0.178,2006,0.545,0.135
"817",0.067,0.127,0.167,0.142,0.194,2006,0.545,0.147
"945",0.133,0.19,0.417,0.142,0.37,2009,0,0.16
"1004",0.433,0.254,0.5,0.142,0.372,2007,0.455,0.265
"1089",0.9,0.259,0.417,0.142,0.268,2006,0.273,0.205
"1273",0.25,0.113,0.25,0.142,0.203,2006,0.909,0.135
"1276",0,0.299,0.667,0.142,0.282,2007,0.545,0.22
"1398",0.9,0.222,0.5,0.142,0.127,2007,0.364,0.185
"1400",0.667,0.24,0.417,0.142,0.152,2009,0.818,0.197
"593",0.883,0.091,0.167,0.143,0.575,2008,0.455,0.114
"1224",0.017,0.339,0.417,0.143,0.372,2006,0.818,0.345
"1308",0.75,0.124,0.25,0.143,0.339,2009,0.364,0.144
"1399",0.533,0.296,0.417,0.143,0.169,2009,0.364,0.243
"699",0.983,0.106,0.25,0.144,0.237,2010,0.273,0.127
"1078",0.317,0.144,0.333,0.144,0.211,2006,0.182,0.163
"1236",0,0.273,0.583,0.144,0.127,2006,0.545,0.192
"1296",0.3,0.135,0.25,0.144,0.203,2006,0.909,0.155
"20",0.25,0.189,0.333,0.145,0.207,2009,0.364,0.178
"22",0,0.146,0.333,0.145,0.197,2007,0.455,0.124
"117",0.2,0.143,0.333,0.145,0.203,2009,0.727,0.162
"274",0.633,0.245,0.333,0.145,0.238,2009,0.273,0.222
"332",0.7,0.136,0.333,0.145,0.217,2007,0.636,0.156
"425",0.1,0.162,0.333,0.145,0.209,2008,0.364,0.18
"575",0.917,0.146,0.25,0.145,0.203,2007,1,0.1
"634",0.917,0.136,0.333,0.145,0.183,2007,0.545,0.156
"787",0,0.248,0.417,0.145,0.293,2010,0.455,0.176
"824",0,0.218,0.417,0.145,0.169,2009,0.545,0.169
"980",0.217,0.148,0.25,0.145,0.339,2009,0.455,0.167
"1046",0.083,0.264,0.5,0.145,0.319,2009,0.455,0.123
"1141",0.017,0.116,0.167,0.145,0.592,2008,0.455,0.138
"1275",0.883,0.173,0.5,0.145,0.389,2007,0.909,0.138
"1284",0.35,0.281,0.5,0.145,0,2010,0.273,0.21
"4",0.333,0.261,0.417,0.146,0.453,2006,0.091,0.187
"64",0,0.259,0.583,0.146,0.339,2010,0.273,0.171
"201",0.9,0.148,0.25,0.146,0.31,2010,0.182,0.167
"248",0.067,0.196,0.25,0.146,0.318,2006,0.455,0.211
"346",0,0.234,0.333,0.146,0.22,2006,0.818,0.194
"355",0.833,0.238,0.333,0.146,0.169,2006,0.455,0.193
"503",0.25,0.166,0.333,0.146,0.325,2007,0.273,0.183
"551",0.45,0.138,0.167,0.146,0.31,2008,0.818,0.158
"594",0.883,0.097,0.167,0.146,0.296,2009,0.364,0.119
"627",0.467,0.205,0.333,0.146,0.202,2007,0.636,0.181
"675",0.25,0.151,0.25,0.146,0.271,2008,0.545,0.17
"702",0.317,0.156,0.333,0.146,0.372,2006,0.545,0.175
"704",0.767,0.278,0.5,0.146,0.474,2010,0.364,0.161
"835",0.183,0.153,0.333,0.146,0.322,2008,0.727,0.171
"841",0,0.216,0.417,0.146,0.282,2008,0.182,0.159
"896",0.217,0.275,0.5,0.146,0.341,2008,0.818,0.196
"970",0.133,0.143,0.333,0.146,0.186,2006,0.182,0.118
"1119",0.617,0.239,0.333,0.146,0.212,2008,1,0.158
"1130",0.5,0.113,0.167,0.146,0.474,2007,0.636,0.135
"1209",0.5,0.179,0.333,0.146,0.357,2008,0.818,0.165
"1298",0.933,0.139,0.25,0.146,0.37,2006,0.455,0.113
"1412",0.917,0.251,0.333,0.146,0.191,2009,0.727,0.192
"1428",0,0.231,0.333,0.146,0.203,2008,0.273,0.187
"45",0.15,0.154,0.333,0.147,0.212,2006,0.364,0.172
"149",0.917,0.141,0.333,0.147,0,2008,0.273,0.16
"208",0.167,0.144,0.333,0.147,0.22,2008,0.273,0.163
"278",0.017,0.1,0.167,0.147,0.282,2010,0.455,0.122
"557",0.117,0.143,0.333,0.147,0.211,2006,0.364,0.162
"602",0,0.196,0.333,0.147,0.384,2007,1,0.159
"691",0.9,0.097,0.083,0.147,0.296,2008,0.364,0.119
"844",0.183,0.276,0.667,0.147,0,2007,0.545,0.286
"695",0,0.227,0.25,0.148,0.406,2009,0.273,0.187
"296",0.567,0.126,0.333,0.149,0.415,2006,0.182,0.146
"420",0.3,0.136,0.333,0.149,0.214,2010,0.545,0.156
"742",0.767,0.109,0.25,0.149,0.203,2008,0.364,0.13
"778",0.4,0.106,0.25,0.149,0.31,2006,0.455,0.125
"1234",0.15,0.161,0.333,0.149,0.374,2010,0.364,0.179
"1239",0.917,0.152,0.333,0.149,0.341,2006,0.182,0.171
"1426",0.15,0.173,0.417,0.149,0.372,2008,0.818,0.19
"1459",0.767,0.14,0.25,0.149,0.169,2010,0.273,0.16
"6",0.75,0.194,0.25,0.15,0.339,2009,0.818,0.16
"137",0.283,0.166,0.25,0.15,0.224,2007,0.545,0.183
"571",0.25,0.263,0.667,0.15,0.406,2008,0.909,0.273
"589",0.883,0.215,0.25,0.15,0.319,2009,0.455,0.226
"646",0.35,0.122,0.25,0.15,0.406,2007,0.182,0.143
"681",0.5,0.111,0.25,0.15,0.186,2010,0.364,0.132
"722",0.9,0.097,0.083,0.15,0.296,2010,0.364,0.119
"898",0.483,0.359,0.833,0.15,0.372,2009,0.455,0.167
"944",0.283,0.245,0.5,0.15,0.406,2007,0.455,0.257
"947",0.15,0.153,0.333,0.15,0.561,2006,0.182,0.171
"1150",0.633,0.216,0.417,0.15,0.228,2009,0.545,0.157
"1223",0,0.285,0.417,0.15,0.222,2007,0,0.224
"1287",0.217,0.187,0.333,0.15,0.372,2010,0.455,0.203
"207",0.2,0.257,0.5,0.151,0.246,2007,0.182,0.219
"797",0.45,0.179,0.417,0.151,0.372,2007,0.273,0.141
"912",0.65,0.176,0.25,0.151,0.178,2009,0.818,0.193
"1432",0.433,0.118,0.25,0.151,0.31,2009,0.818,0.139
"13",0.2,0.109,0.167,0.152,0.248,2008,0.727,0.13
"43",0.55,0.104,0.25,0.152,0.355,2007,1,0.122
"635",0.5,0.136,0.167,0.152,0.406,2010,0.455,0.156
"779",0.45,0.318,0.667,0.152,0.444,2007,0.818,0.148
"812",0.9,0.097,0.167,0.152,0.296,2008,0.455,0.119
"839",0.933,0.144,0.333,0.152,0.248,2008,0.455,0.163
"1054",0.867,0.225,0.417,0.152,0.257,2010,0.364,0.211
"1140",0,0.157,0.333,0.152,0.349,2007,0.364,0.153
"1198",0,0.255,0.417,0.152,0.159,2006,0.545,0.19
"1270",0.133,0.224,0.417,0.152,0.222,2007,0.545,0.181
"1365",0.917,0.163,0.167,0.152,0.339,2006,0.273,0.121
"1369",0.9,0.097,0.167,0.152,0.296,2009,0.455,0.119
"1425",0.55,0.19,0.333,0.152,0.341,2007,0.455,0.178
"37",0.75,0.144,0.333,0.153,0.474,2009,0.455,0.163
"74",0.883,0.142,0.333,0.153,0.346,2010,0.364,0.161
"210",0.233,0.143,0.333,0.153,0.355,2008,0.545,0.162
"255",0.117,0.185,0.25,0.153,0.207,2010,0.455,0.201
"328",0.167,0.198,0.417,0.153,0.206,2006,0.273,0.213
"362",0.533,0.221,0.5,0.153,0.169,2008,0.545,0.18
"412",0.083,0.136,0.25,0.153,0.403,2006,0,0.156
"577",0,0.215,0.333,0.153,0.152,2009,0.636,0.176
"887",0.917,0.26,0.5,0.153,0.415,2006,0.455,0.263
"914",0,0.314,0.5,0.153,0.614,2007,0.636,0.234
"956",0,0.306,0.5,0.153,0.347,2007,0.636,0.228
"1048",0.75,0.124,0.25,0.153,0.474,2008,0.091,0.144
"1081",0.9,0.174,0.25,0.153,0.372,2008,0.818,0.191
"1214",0.85,0.118,0.083,0.153,0.257,2006,0.364,0.112
"1226",0.133,0.151,0.333,0.153,0.186,2007,0.455,0.122
"1453",0.917,0.139,0.25,0.153,0.37,2006,0.364,0.113
"579",0.95,0.199,0.25,0.154,0.381,2008,0.091,0.153
"657",0.933,0.135,0.25,0.154,0.22,2008,0.636,0.155
"922",0.883,0.352,0.583,0.154,0,2008,0.727,0.275
"1094",0.8,0.163,0.333,0.154,0.623,2006,0.818,0.152
"1161",0.467,0.211,0.417,0.154,0.31,2010,0.545,0.173
"468",0.75,0.247,0.417,0.155,0.22,2007,0.455,0.178
"792",0.433,0.137,0.25,0.155,0.38,2007,0.364,0.154
"366",0.783,0.19,0.333,0.156,0.33,2009,0.545,0.147
"486",0.95,0.147,0.25,0.156,0.186,2009,0.545,0.166
"505",0.4,0.186,0.333,0.156,0.31,2009,0.455,0.161
"614",0.95,0.148,0.333,0.156,0,2007,1,0.167
"830",0.917,0.167,0.167,0.156,0.339,2006,0.545,0.123
"857",0.467,0.13,0.25,0.156,0.406,2008,0.818,0.143
"1086",0.7,0.125,0.25,0.156,0.398,2010,0.273,0.14
"1228",0.967,0.109,0.25,0.156,0.406,2008,1,0.13
"1309",0.917,0.148,0.333,0.156,0.372,2008,0.364,0.15
"1325",0.95,0.275,0.417,0.156,0.631,2007,0.091,0.285
"1460",0.25,0.174,0.333,0.156,0.195,2008,0.455,0.191
"231",0.15,0.162,0.333,0.157,0.22,2010,0.273,0.18
"270",0.433,0.147,0.333,0.157,0.355,2007,0.364,0.168
"377",0.767,0.109,0.25,0.157,0.406,2006,0.545,0.127
"473",0.917,0.139,0.25,0.157,0.37,2008,0.455,0.113
"612",0.467,0.131,0.333,0.157,0.398,2007,0.545,0.152
"879",0.75,0.155,0.333,0.157,0.406,2010,0.455,0.169
"1200",0.483,0.197,0.333,0.157,0.324,2006,0.818,0.184
"17",0.333,0.126,0.25,0.158,0.339,2010,0.182,0.147
"196",0.433,0.211,0.417,0.158,0.31,2009,0.545,0.173
"204",0.9,0.097,0.083,0.158,0.296,2008,0,0.119
"658",0.833,0.22,0.333,0.158,0.19,2008,0.091,0.17
"676",0.467,0.209,0.417,0.158,0.31,2009,0.273,0.172
"688",0.9,0.145,0.167,0.158,0.339,2007,0.182,0.116
"866",0.333,0.126,0.25,0.158,0.636,2009,0.636,0.146
"1146",0,0.234,0.5,0.158,0.159,2006,0.636,0.2
"32",0.933,0.168,0.333,0.159,0.191,2008,0.455,0.186
"417",0.467,0.201,0.333,0.159,0.31,2006,0.182,0.152
"890",0.05,0.221,0.333,0.159,0.356,2009,0.091,0.234
"1439",0.767,0.17,0.333,0.159,0.651,2010,0.273,0.159
"1442",0.9,0.097,0.083,0.159,0.296,2008,0.364,0.119
"130",0.683,0.135,0.333,0.16,0.529,2006,0.545,0.151
"304",0.367,0.106,0.25,0.16,0.389,2006,0.545,0.127
"406",0.717,0.242,0.5,0.16,0.346,2009,0.455,0.225
"522",0.117,0.171,0.333,0.16,0.237,2007,0.364,0.189
"943",0.45,0.208,0.5,0.16,0,2007,0.636,0.223
"1006",0.45,0.123,0.333,0.16,0.231,2008,0.909,0.143
"1152",0.15,0.213,0.333,0.16,0.372,2006,0.909,0.228
"1358",0.967,0.14,0.333,0.16,0.353,2010,0.273,0.16
"133",0.867,0.187,0.417,0.161,0.44,2007,0.545,0.18
"263",0.75,0.165,0.333,0.161,0.347,2006,0.545,0.121
"600",0.5,0.23,0.333,0.161,0.319,2008,0.545,0.17
"604",0.917,0.163,0.167,0.161,0.339,2010,0.455,0.128
"832",0.917,0.163,0.167,0.161,0.339,2006,0.455,0.121
"941",0.433,0.263,0.5,0.161,0.405,2006,0.545,0.273
"1260",0.317,0.136,0.333,0.161,0.324,2008,0.545,0.155
"1283",0.967,0.133,0.25,0.161,0.341,2009,0.727,0.153
"347",0.8,0.118,0.25,0.162,0.212,2007,0.273,0.139
"1069",0.383,0.412,0.667,0.162,0.406,2006,0.455,0.274
"165",0.9,0.242,0.25,0.163,0.152,2007,0.818,0.213
"297",0,0.231,0.333,0.163,0.199,2007,0.455,0.187
"607",0.767,0.133,0.333,0.163,0.406,2009,0.909,0.153
"644",0.317,0.242,0.417,0.163,0.326,2007,0.273,0.181
"859",0.433,0.195,0.333,0.163,0.338,2009,0.455,0.186
"863",0.583,0.144,0.333,0.163,0.339,2010,0.364,0.158
"38",0.667,0.181,0.25,0.164,0.351,2009,0.818,0.198
"189",0.483,0.168,0.333,0.164,0.372,2009,0.455,0.173
"628",0.367,0.223,0.417,0.164,0.257,2010,0.182,0.205
"902",0.833,0.183,0.25,0.164,0.533,2009,0.364,0.172
"25",0.85,0.137,0.333,0.165,0.19,2010,0.364,0.156
"82",0.8,0.189,0.25,0.165,0.286,2006,0.182,0.196
"124",0.717,0.163,0.25,0.165,0.374,2008,0.182,0.181
"290",0.883,0.2,0.417,0.165,0.271,2007,0.545,0.154
"349",0.9,0.243,0.333,0.165,0.334,2008,0.818,0.18
"837",0.383,0.231,0.25,0.165,0.573,2007,0.455,0.244
"845",0,0.204,0.417,0.165,0.508,2008,0.455,0.171
"1065",0.267,0.154,0.333,0.165,0.339,2009,0.909,0.173
"1072",0.3,0.23,0.5,0.165,0.311,2009,0.364,0.171
"1205",0.417,0.139,0.333,0.165,0.349,2006,0.545,0.157
"1300",0.733,0.172,0.333,0.165,0.215,2010,0.364,0.189
"893",0.883,0.138,0.333,0.166,0.186,2006,0.091,0.157
"911",0.167,0.365,0.833,0.166,0.339,2010,0,0.267
"118",0.95,0.149,0.25,0.167,0.303,2007,0.273,0.168
"129",0.267,0.191,0.333,0.167,0.319,2006,0.545,0.147
"340",0.8,0.166,0.333,0.167,0.209,2009,0.455,0.184
"462",0.95,0.151,0.333,0.167,0.406,2009,0.273,0.119
"483",0.917,0.281,0.417,0.167,0.116,2009,0.455,0.21
"494",0.167,0.176,0.333,0.167,0.217,2008,0.455,0.193
"648",0.05,0.143,0.25,0.167,0.349,2008,0.455,0.162
"649",0.267,0.284,0.417,0.167,0.312,2010,0.455,0.198
"819",0.35,0.135,0.333,0.167,0.31,2010,0.455,0.151
"960",0.817,0.204,0.333,0.167,0.341,2010,0.364,0.156
"963",0.433,0.229,0.417,0.167,0.31,2007,0.545,0.177
"1041",0.833,0.277,0.5,0.167,0.341,2006,0,0.228
"1179",0,0.19,0.417,0.167,0.131,2009,0.545,0.152
"1297",0.217,0.15,0.333,0.167,0.37,2008,1,0.168
"1342",0.9,0.147,0.333,0.167,0.406,2008,0.545,0.166
"214",0.75,0.124,0.25,0.168,0.406,2006,0.545,0.144
"361",0.467,0.109,0.25,0.168,0.331,2007,0.455,0.128
"487",0.25,0.139,0.333,0.168,0.363,2007,0.455,0.159
"755",0.917,0.13,0.25,0.168,0.31,2009,0.545,0.15
"1079",0.9,0.097,0.083,0.168,0.296,2006,0.364,0.119
"1345",0.933,0.211,0.5,0.168,0.31,2007,0.545,0.162
"1321",0.117,0.216,0.333,0.169,0.312,2009,0.455,0.23
"1364",0.95,0.203,0.333,0.169,0.305,2007,0.182,0.148
"15",0.167,0.173,0.25,0.17,0.248,2008,0.364,0.19
"301",0.05,0.189,0.25,0.17,0.264,2006,0.455,0.19
"348",0.167,0.216,0.333,0.17,0.351,2009,1,0.23
"718",0.833,0.159,0.25,0.17,0.31,2008,0.909,0.177
"842",0.867,0.227,0.5,0.17,0.484,2008,0.455,0.162
"881",0.933,0.142,0.25,0.17,0.317,2007,0.455,0.162
"1100",0.467,0.239,0.417,0.17,0.337,2009,0.273,0.222
"1383",0,0.269,0.5,0.17,0.406,2006,0.818,0.177
"61",0.9,0.155,0.25,0.171,0.406,2006,0.364,0.174
"254",0.683,0.182,0.417,0.171,0.218,2007,0.818,0.199
"517",0.367,0.336,0.417,0.171,0.411,2009,0.636,0.217
"539",0.3,0.155,0.417,0.171,0.237,2006,0.545,0.164
"814",0.133,0.209,0.417,0.171,0.212,2007,0.273,0.223
"854",0.233,0.209,0.417,0.171,0.455,2009,0.636,0.196
"1195",0.317,0.192,0.417,0.171,0.211,2010,0.182,0.147
"1447",0.2,0.161,0.333,0.171,0.22,2010,0.273,0.179
"19",0.9,0.147,0.333,0.172,0.406,2008,0.455,0.166
"287",0.517,0.264,0.417,0.172,0.31,2006,0.455,0.202
"300",0.9,0.154,0.333,0.172,0.212,2009,0.636,0.167
"367",0.217,0.2,0.333,0.172,0.362,2009,0.545,0.215
"523",0,0.251,0.417,0.172,0.296,2006,0.818,0.204
"758",0.467,0.198,0.333,0.172,0.31,2010,0.273,0.151
"682",0.833,0.223,0.333,0.173,0.198,2009,0.545,0.173
"717",0.8,0.418,0.5,0.173,0.496,2007,0.545,0.257
"1074",0.45,0.206,0.333,0.173,0.31,2009,0.545,0.156
"1104",0.15,0.162,0.333,0.173,0.38,2006,0.545,0.133
"41",0.25,0.187,0.333,0.174,0.31,2006,1,0.182
"489",0.333,0.392,0.667,0.174,0.367,2006,0.364,0.266
"626",0.2,0.147,0.25,0.174,0.31,2010,0.091,0.166
"768",0.583,0.267,0.417,0.174,0.298,2008,0.545,0.21
"791",0.933,0.153,0.25,0.174,0.28,2009,0.727,0.171
"809",0.267,0.142,0.333,0.174,0.341,2006,0.455,0.156
"967",0,0.183,0.417,0.174,0.181,2009,0.455,0.149
"983",0.95,0.176,0.333,0.174,0.274,2008,0.182,0.193
"1019",0.7,0.214,0.417,0.174,0.283,2007,0.364,0.133
"1031",0.75,0.3,0.667,0.174,0,2006,0.545,0.2
"1084",0.233,0.173,0.333,0.174,0.325,2006,0.182,0.19
"1092",0.833,0.173,0.167,0.174,0.326,2008,0.182,0.133
"1299",0.967,1,0.833,0.174,1,2008,0,1
"1397",0,0.255,0.417,0.174,0.403,2010,0.455,0.184
"1435",0.45,0.149,0.25,0.174,0.341,2006,0.364,0.168
"459",0.767,0.251,0.417,0.175,0.161,2008,0.455,0.168
"509",0.917,0.197,0.417,0.175,0.254,2008,0.818,0.152
"215",0.45,0.199,0.333,0.176,0.211,2010,0.182,0.153
"786",0.283,0.19,0.417,0.176,0.322,2009,0.727,0.208
"1263",0.65,0.274,0.5,0.176,0.214,2009,0.909,0.224
"161",0.567,0.169,0.333,0.177,0.364,2008,0.455,0.187
"370",0.933,0.18,0.417,0.177,0.406,2010,0.182,0.177
"752",0.883,0.186,0.333,0.177,0.282,2007,0.636,0.144
"776",0.8,0.164,0.25,0.177,0.291,2009,0.455,0.182
"1277",0.367,0.2,0.333,0.177,0.35,2009,1,0.156
"174",0.183,0.194,0.333,0.178,0.355,2008,0.455,0.209
"443",0.7,0.233,0.5,0.178,0.254,2008,0.455,0.203
"736",0.333,0.27,0.333,0.178,0.226,2006,0.818,0.203
"1172",0.133,0.175,0.333,0.178,0.305,2008,0.909,0.192
"1294",0.433,0.251,0.5,0.178,0.372,2006,0.182,0.189
"1394",0.833,0.297,0.417,0.178,0.474,2008,0.273,0.18
"93",0.933,0.119,0.25,0.179,0.305,2009,0.636,0.132
"120",0.933,0.211,0.5,0.179,0.275,2006,0.545,0.162
"484",0.8,0.166,0.25,0.179,0.283,2006,0.364,0.184
"853",0,0.247,0.417,0.179,0.169,2007,0.636,0.195
"1007",0.333,0.249,0.417,0.179,0.341,2007,0.182,0.261
"1125",0.7,0.216,0.417,0.179,0.276,2007,0.545,0.134
"1212",0.917,0.267,0.5,0.179,0.347,2010,0.455,0.173
"88",0.983,0.168,0.167,0.18,0.372,2009,0.455,0.132
"286",0.95,0.173,0.25,0.18,0.372,2007,0.455,0.135
"578",0.267,0.186,0.333,0.18,0.398,2006,0.364,0.188
"34",0.15,0.257,0.333,0.181,0.315,2010,0.273,0.242
"368",0.2,0.207,0.333,0.181,0.209,2008,1,0.192
"402",0.917,0.184,0.333,0.181,0.282,2006,0.545,0.2
"511",0.833,0.194,0.333,0.181,0.203,2009,0.455,0.178
"625",0.367,0.274,0.5,0.181,0.341,2006,0.909,0.192
"673",0.45,0.165,0.333,0.181,0.385,2006,0.455,0.182
"716",0.4,0.191,0.417,0.181,0.337,2009,0.636,0.182
"784",0.467,0.146,0.167,0.181,0.425,2009,0.545,0.164
"894",0.067,0.198,0.333,0.181,0.25,2008,0.455,0.213
"976",0.833,0.197,0.333,0.181,0.346,2006,0.273,0.151
"1013",0.767,0.22,0.417,0.181,0.127,2007,0.636,0.155
"1053",0.467,0.31,0.583,0.181,0.381,2007,0.455,0.215
"1194",0.817,0.168,0.25,0.181,0.283,2009,0.455,0.185
"1255",0.9,0.249,0.417,0.181,0.28,2008,0.545,0.181
"1372",0.767,0.25,0.5,0.181,0.266,2008,0.818,0.203
"143",0.033,0.198,0.333,0.182,0.508,2010,0.455,0.172
"311",0.733,0.22,0.333,0.182,0.296,2006,0.364,0.163
"831",0.117,0.199,0.333,0.182,0.323,2008,0.455,0.215
"295",0.05,0.247,0.417,0.183,0.295,2009,0.818,0.239
"467",0.333,0.178,0.25,0.183,0.371,2007,0.273,0.194
"660",0.817,0.217,0.417,0.183,0.339,2009,0.182,0.231
"834",0.233,0.223,0.333,0.183,0.333,2009,0.091,0.236
"220",0.933,0.172,0.25,0.184,0.309,2006,0.182,0.189
"975",0.717,0.317,0.5,0.184,0.375,2009,0.818,0.211
"1027",0.167,0.175,0.333,0.184,0.325,2010,0.273,0.193
"1380",0.95,0.2,0.417,0.184,0.282,2008,0.364,0.126
"405",0.767,0.233,0.417,0.185,0.263,2007,0.364,0.179
"669",0.617,0.208,0.333,0.185,0.406,2006,0.909,0.201
"992",0.6,0.265,0.5,0.185,0.299,2009,0.909,0.204
"1068",0.233,0.241,0.417,0.185,0.312,2008,0.455,0.18
"1191",0.417,0.243,0.417,0.185,0.956,2007,0.182,0.222
"1336",0.45,0.188,0.333,0.185,0.444,2009,0.273,0.206
"85",0.767,0.215,0.417,0.186,0.282,2009,0.364,0.133
"624",0.833,0.222,0.167,0.186,0.31,2007,0.455,0.169
"630",0.233,0.191,0.333,0.186,0.367,2008,0.455,0.198
"869",0,0.374,0.417,0.186,0.474,2006,0.364,0.169
"1135",0.783,0.239,0.417,0.186,0.324,2007,0.636,0.191
"1285",0.667,0.398,0.667,0.186,0.237,2010,0.182,0.255
"105",0,0.28,0.417,0.187,0.169,2007,0.455,0.221
"398",0.2,0.278,0.5,0.187,0.186,2007,0.545,0.205
"1248",0.433,0.132,0.333,0.187,0.626,2010,0.364,0.15
"42",0.15,0.187,0.25,0.188,0.217,2007,0.545,0.205
"562",0.417,0.199,0.333,0.188,0.295,2006,0.273,0.214
"574",0.833,0.206,0.5,0.188,0.282,2007,1,0.13
"855",0.4,0.272,0.333,0.188,0.32,2006,0.545,0.281
"923",0.933,0.185,0.333,0.188,0.28,2006,0.818,0.201
"1077",0.65,0.213,0.417,0.188,0.399,2006,0.273,0.169
"1098",0.6,0.142,0.25,0.188,0.325,2007,0.818,0.16
"1243",0.4,0.158,0.333,0.188,0.372,2010,0,0.166
"1356",0.7,0.299,0.5,0.188,0.343,2006,0.727,0.189
"138",0.65,0.306,0.583,0.189,0.54,2006,0.545,0.309
"796",0.517,0.232,0.417,0.189,0.336,2010,0.273,0.165
"846",0.517,0.258,0.333,0.189,0.431,2007,0,0.241
"1171",0.45,0.148,0.333,0.189,0.252,2008,0.545,0.165
"1352",0.2,0.26,0.5,0.189,0.346,2008,0.182,0.196
"202",0.45,0.178,0.333,0.19,0.334,2008,0.091,0.188
"954",0.317,0.308,0.417,0.19,0.374,2008,0.727,0.212
"1173",0.95,0.173,0.25,0.19,0.441,2008,0.182,0.135
"1252",0.883,0.202,0.333,0.19,0.337,2006,0.182,0.217
"57",0.833,0.265,0.417,0.191,0.339,2009,0.636,0.208
"178",0.133,0.299,0.5,0.191,0.318,2006,0.545,0.231
"371",0.833,0.251,0.417,0.191,0.324,2006,0,0.2
"444",0.95,0.174,0.333,0.191,0.457,2007,0.455,0.191
"493",0.933,0.211,0.5,0.191,0.303,2006,0.364,0.162
"756",0.817,0.214,0.333,0.191,0.31,2009,0.182,0.163
"892",0.467,0.254,0.417,0.191,0.31,2009,0.545,0.199
"187",0.683,0.166,0.333,0.192,0.35,2009,0.455,0.181
"253",0.9,0.246,0.333,0.192,0.367,2008,1,0.184
"357",0.7,0.157,0.333,0.192,0.282,2009,0.545,0.174
"671",0.917,0.215,0.417,0.192,0.381,2009,0.091,0.165
"683",0.783,0.18,0.333,0.192,0.304,2008,0.909,0.197
"972",0.9,0.243,0.333,0.192,0.334,2009,0.545,0.18
"1042",0.833,0.245,0.417,0.192,0.341,2008,0.545,0.184
"1168",0.833,0.252,0.417,0.192,0.333,2006,0.091,0.201
"87",0.917,0.231,0.333,0.193,0.282,2009,0.182,0.167
"136",0.333,0.254,0.417,0.193,0.374,2008,0.364,0.232
"858",0.75,0.216,0.333,0.193,0.242,2009,0.182,0.162
"910",0.917,0.217,0.5,0.193,0.275,2009,0.455,0.166
"915",0.983,0.168,0.167,0.193,0.372,2009,0.455,0.132
"994",0.933,0.22,0.333,0.193,0.398,2006,0.636,0.168
"1127",0.95,0.23,0.417,0.193,0.465,2009,0.455,0.227
"1192",0.833,0.209,0.25,0.193,0.347,2007,0.909,0.165
"1436",0.917,0.227,0.417,0.193,0.326,2008,0.545,0.221
"843",0.267,0.157,0.333,0.194,0.346,2008,0.364,0.171
"1148",0,0.232,0.417,0.194,0.165,2009,0.545,0.169
"266",0.517,0.205,0.417,0.195,0.406,2008,0.455,0.22
